rsrc_id,priority,category,name,source_url,verified_url,publisher,license,legal_class,expected_format,expected_size_bytes,update_frequency,auto_acquisition,method,date_acquired,checksum_sha256,local_path,status,notes
RSRC-014,P1,D3,KSP Crime in Karnataka monthly review,https://ksp.karnataka.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Karnataka State Police,Govt of Karnataka ToS,Public,PDF,10000000,Monthly,true,AUTO-DIRECT-DOWNLOAD,2026-07-18,e1d3247e15dc3221a089b96d5e87a4326d4f618a8c9d1bcf611804cae641233b,data/raw/RSRC-014/R008_resource_20260718.html,completed,Karnataka-specific district crime statistics
RSRC-015,P2,D3,NITI Aayog NDAP Crime in India IPC data,https://ndap.niti.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,NITI Aayog,NDAP open terms,Public,CSV,5000000,Annual,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Cross-sectoral merge with socio-economic indicators
RSRC-016,P2,D3,NCRB Crime in India district tables,https://ncrb.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,NCRB (MHA),Govt publication,Public,PDF/CSV,20000000,Annual,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,District-level breakdown for synthetic data validation
RSRC-017,P2,D3,Karnataka data.gov.in crime datasets,https://karnataka.data.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Govt of Karnataka,GODL-India,Public,CSV,15000000,Semi-annual,true,AUTO-API,,,,NOT-ACQUIRED,State-level open crime data under NDSAP
RSRC-018,P2,D3,NCRB crime statistics by district/year,https://data.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,NCRB/data.gov.in,GODL-India,Public,CSV,10000000,Annual,true,AUTO-API,,,,NOT-ACQUIRED,Crime head-wise district aggregates for validation
RSRC-019,—,D3,Karnataka Police Citizen Portal (UX ref),https://policeseva.ksp.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Karnataka State Police,Govt ToS,Public (UX ref only),HTML,0,None,false,DO-NOT-ACQUIRE,,,,NOT-ACQUIRED,UX reference only; not a data source
RSRC-020,P1,D4,OpenStreetMap via Overpass API,https://overpass-api.de,UNVERIFIED-REQUIRES-VERIFICATION,OSM Foundation,ODbL,Public,JSON/XML,50000000,Continuous,true,AUTO-API,,,,NOT-ACQUIRED,POI enrichment: stations hospitals schools ATMs
RSRC-021,P1,D4,Bhuvan ISRO/NRSC satellite layers,https://bhuvan.nrsc.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,ISRO/NRSC,Indian govt freeware terms,Public,WMS/WFS,100000000,Continuous,true,AUTO-API,,,,NOT-ACQUIRED,Terrain/satellite map layers; may need registration
RSRC-022,P2,D4,Survey of India admin boundaries,https://surveyofindia.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Survey of India,UNVERIFIED-REQUIRES-VERIFICATION,Public (TBC),SHP/GeoJSON,30000000,Annual,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,Authoritative admin boundaries; licensing unconfirmed
RSRC-023,P1,D4,OSM Karnataka police stations POI,https://overpass-api.de,UNVERIFIED-REQUIRES-VERIFICATION,OSM Foundation,ODbL,Public,GeoJSON,1000000,Quarterly,true,AUTO-API,2026-07-18,0e37071e13b856eb99b3693548ed50581a3fd1a5696603d52711ca7886a30ff6,data/raw/RSRC-023/overpass_karnataka_police_20260718.json,completed,Police station locations for hotspot map
RSRC-024,P1,D4,OSM Karnataka hospitals POI,https://overpass-api.de,UNVERIFIED-REQUIRES-VERIFICATION,OSM Foundation,ODbL,Public,GeoJSON,2000000,Quarterly,true,AUTO-API,,,,NOT-ACQUIRED,Hospital locations for location enrichment
RSRC-025,P1,D4,OSM Karnataka educational institutions POI,https://overpass-api.de,UNVERIFIED-REQUIRES-VERIFICATION,OSM Foundation,ODbL,Public,GeoJSON,3000000,Quarterly,true,AUTO-API,,,,NOT-ACQUIRED,School/college locations for context enrichment
RSRC-026,P2,D5,Census of India 2011 district handbooks,https://censusindia.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Registrar General,Govt publication,Public,PDF/CSV,100000000,Decennial,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Population/literacy/urban-rural for context
RSRC-027,P2,D5,NITI Aayog NDAP socio-economic data,https://ndap.niti.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,NITI Aayog,NDAP open terms,Public,CSV,30000000,Annual,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Socio-economic indicators beyond crime
RSRC-028,P4,D5,RBI DBIE macro-financial data,https://dbie.rbi.org.in,UNVERIFIED-REQUIRES-VERIFICATION,RBI,UNVERIFIED-REQUIRES-VERIFICATION,Public,CSV/API,50000000,Monthly,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,Optional macro context; not needed for Phase 1
RSRC-029,P2,D5,Census district population tables,https://censusindia.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Registrar General,Govt publication,Public,CSV,5000000,Decennial,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,District-wise population counts
RSRC-030,P2,D5,Census literacy rate by district,https://censusindia.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Registrar General,Govt publication,Public,CSV,3000000,Decennial,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Literacy data for socio-economic overlay
RSRC-031,P2,D5,Census urbanization data Karnataka,https://censusindia.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Registrar General,Govt publication,Public,CSV,2000000,Decennial,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Urban/rural classification for hotspot context
RSRC-032,P1,D6,Open-Meteo historical weather API,https://open-meteo.com,UNVERIFIED-REQUIRES-VERIFICATION,Open-Meteo,Free/open (recheck volume terms),Public,JSON,2000000,Continuous,true,AUTO-API,2026-07-18,c61cd589db72de1f0469cae01a3dc8977b94ce74dd0d9d0030c71140e837b732,data/raw/RSRC-032/openmeteo_bengaluru_2025_20260718.json,completed,Historical weather for Blueprint Section 6.6
RSRC-033,P2,D6,IMD weather data portal,https://mausam.imd.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,IMD,Govt terms — UNVERIFIED-REQUIRES-VERIFICATION,Public,CSV,50000000,Daily,false,SEMI-AUTOMATED,,,,NOT-ACQUIRED,Official backup/validation; access method unconfirmed
RSRC-034,P2,D6,Election Commission data and calendar,https://eci.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,ECI,Govt terms,Public,PDF/CSV,5000000,Ad-hoc,false,SEMI-AUTOMATED,,,,NOT-ACQUIRED,Election day flags for temporal features
RSRC-035,P2,D6,Karnataka public holiday calendar,https://karnataka.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Govt of Karnataka,Govt terms,Public,CSV,100000,Annual,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Festival/holiday flags for anomaly detection
RSRC-036,P2,D6,IMD Karnataka rainfall data,https://mausam.imd.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,IMD,Govt terms,Public,CSV,20000000,Monthly,false,SEMI-AUTOMATED,,,,NOT-ACQUIRED,District rainfall data for environmental context
RSRC-037,P1,D6,Open-Meteo geocoding API,https://open-meteo.com,UNVERIFIED-REQUIRES-VERIFICATION,Open-Meteo,Free/open,Public,JSON,500000,Continuous,true,AUTO-API,,,,NOT-ACQUIRED,Coordinate resolution for location enrichment
RSRC-038,P0,D7,Bharatiya Nyaya Sanhita (BNS) 2023,https://indiacode.nic.in,UNVERIFIED-REQUIRES-VERIFICATION,MHA/India Code,Public domain (Govt of India),Public,PDF,5000000,One-time,true,AUTO-DIRECT-DOWNLOAD,2026-07-18,8c8969428f9104eddab974fae95373a63528f7669a92004d39aabd4e722671d9,data/raw/RSRC-038/indiacode_bns_page_20260718.html,completed,Maps to IPC/BNS Sections field in Blueprint Section 6.1
RSRC-039,P1,D7,Bharatiya Nagarik Suraksha Sanhita (BNSS) 2023,https://indiacode.nic.in,UNVERIFIED-REQUIRES-VERIFICATION,MHA/India Code,Public domain,Public,PDF,8000000,One-time,true,AUTO-DIRECT-DOWNLOAD,2026-07-18,3768aa8f1e288c41f758c63cc62a3209a5936f214c495f658e69f0158ea09224,data/raw/RSRC-039/R021_resource_20260718.html,completed,Companion procedural law text
RSRC-040,P1,D7,Bharatiya Sakshya Adhiniyam (BSA) 2023,https://indiacode.nic.in,UNVERIFIED-REQUIRES-VERIFICATION,MHA/India Code,Public domain,Public,PDF,4000000,One-time,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Evidence law text
RSRC-041,P1,D7,DPDP Act 2023,https://indiacode.nic.in,UNVERIFIED-REQUIRES-VERIFICATION,MeitY/India Code,Public domain,Public,PDF,2000000,One-time,true,AUTO-DIRECT-DOWNLOAD,2026-07-18,3768aa8f1e288c41f758c63cc62a3209a5936f214c495f658e69f0158ea09224,data/raw/RSRC-041/R022_resource_20260718.html,completed,Data protection compliance reference; Blueprint Section 13.4
RSRC-042,P1,D7,DPDP Rules 2025,https://indiacode.nic.in,UNVERIFIED-REQUIRES-VERIFICATION,MeitY/India Code,Public domain,Public,PDF,3000000,One-time,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,DPDP Rules notified Nov 2025; recheck deadlines
RSRC-043,P4,D7,BPRD BNS handbook,https://bprd.nic.in,UNVERIFIED-REQUIRES-VERIFICATION,BPRD (MHA),Govt publication,Public,PDF,5000000,One-time,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Practitioner-level guidance; informative only
RSRC-044,P2,D7,IPC to BNS mapping reference,https://indiacode.nic.in,UNVERIFIED-REQUIRES-VERIFICATION,MHA/India Code,Public domain,Public,PDF,1000000,One-time,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Section mapping; needs legal review before auto-applying
RSRC-045,P4,D8,GeoJSON specification (RFC 7946),https://geojson.org,UNVERIFIED-REQUIRES-VERIFICATION,IETF/OGC,Open standard,Public,HTML,500000,None,false,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Geospatial output format standard
RSRC-046,P4,D8,OGC WMS/WFS standards,https://www.ogc.org,UNVERIFIED-REQUIRES-VERIFICATION,OGC,Open standard,Public,HTML,1000000,None,false,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Web map/service standards for Bhuvan integration
RSRC-047,P4,D8,POLE data-model references,various academic sources,UNVERIFIED-REQUIRES-VERIFICATION,Policing-informatics literature,Varies,Public (research),PDF,3000000,None,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,Canonical model design pattern; no single spec
RSRC-048,P2,D8,FollowTheMoney schema documentation,https://docs.alephdata.org,UNVERIFIED-REQUIRES-VERIFICATION,OCCRP,MIT,Public,HTML,2000000,None,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Entity/relationship ontology reference for Section 6
RSRC-049,P4,D8,Schema.org crime ontology reference,https://schema.org,UNVERIFIED-REQUIRES-VERIFICATION,Schema.org,CC-BY-SA,Public,HTML,1000000,None,false,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Structured data vocabulary reference
RSRC-050,P1,D9,OpenAleph repository,https://github.com/alephdata/aleph,UNVERIFIED-REQUIRES-VERIFICATION,OCCRP,MIT,Public,Source code,50000000,Continuous,false,AUTO-GIT,2026-07-20,c70a89ffa59ea785956f6095643310da3735b7fb,repositories/alephdata__followthemoney,completed,Entity/relationship modeling reference; study only
RSRC-051,P1,D9,FollowTheMoney schema (Python package),https://github.com/alephdata/followthemoney,UNVERIFIED-REQUIRES-VERIFICATION,OCCRP,MIT,Public,Source code,2000000,Continuous,false,AUTO-GIT,,,,NOT-ACQUIRED,Data model for entity resolution pattern
RSRC-052,P1,D9,Kepler.gl repository,https://github.com/keplergl/kepler.gl,UNVERIFIED-REQUIRES-VERIFICATION,Uber/OpenJS Foundation,MIT,Public,Source code,100000000,Continuous,false,AUTO-GIT,2026-07-20,5161a694dd07300c0d49d457bdede0d1a118b315,repositories/keplergl__kepler.gl,completed,Geospatial dashboard reference pattern
RSRC-053,P2,D9,Neo4j Community Edition,https://neo4j.com,UNVERIFIED-REQUIRES-VERIFICATION,Neo4j Inc.,GPLv3 (Community),Public,DMG/MSI/DEB,200000000,Continuous,false,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Phase 3 graph DB upgrade path; not for Phase 1
RSRC-054,P2,D9,NetworkX,https://networkx.org,https://github.com/networkx/networkx,NetworkX developers,BSD-3-Clause,Public,Python wheel,15000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Phase 1 graph traversal logic; pip install networkx
RSRC-055,P2,D9,spaCy NLP library,https://spacy.io,https://github.com/explosion/spaCy,Explosion,MIT,Public,Python wheel,50000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,English NER pipeline for FIR text extraction
RSRC-056,P2,D9,AI4Bharat IndicNLP models,https://ai4bharat.iitm.ac.in,UNVERIFIED-REQUIRES-VERIFICATION,AI4Bharat (IIT Madras),Various open licenses,Public,Model weights,2000000000,Continuous,false,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Kannada NLP; Phase 2 stretch
RSRC-057,P2,D9,sentence-transformers,https://www.sbert.net,https://github.com/UKPLab/sentence-transformers,UKPLab,Apache-2.0,Public,Python wheel,20000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,MO similarity embeddings
RSRC-058,P4,D10,KDE hotspot detection research papers,Various academic repositories,UNVERIFIED-REQUIRES-VERIFICATION,Various,Varies,Public (research),PDF,10000000,None,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,KDE/DBSCAN methods for hotspot detection
RSRC-059,P4,D10,Entity resolution / record linkage papers,Various academic repositories,UNVERIFIED-REQUIRES-VERIFICATION,Various,Varies,Public (research),PDF,15000000,None,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,Informs PersonEntity deduplication design
RSRC-060,P4,D10,Predictive policing critique literature,Various academic repositories,UNVERIFIED-REQUIRES-VERIFICATION,Various,Varies,Public (research),PDF,15000000,None,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,Bias feedback-loop analysis; Blueprint Section 13.1
RSRC-061,P4,D10,Explainable AI / calibration research,Various academic repositories,UNVERIFIED-REQUIRES-VERIFICATION,Various,Varies,Public (research),PDF,10000000,None,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,Risk score explainability methods
RSRC-062,P4,D10,GraphRAG and knowledge graph papers,Various academic repositories,UNVERIFIED-REQUIRES-VERIFICATION,Various,Varies,Public (research),PDF,10000000,None,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,RAG over knowledge graphs for Ask Berunda
RSRC-063,P4,D10,Graph neural networks for crime analysis papers,Various academic repositories,UNVERIFIED-REQUIRES-VERIFICATION,Various,Varies,Public (research),PDF,10000000,None,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,Advanced graph analytics research
RSRC-064,P4,D10,Spatiotemporal crime forecasting benchmarks,Various academic repositories,UNVERIFIED-REQUIRES-VERIFICATION,Various,Varies,Public (research),PDF,5000000,None,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,Benchmark evaluation datasets for hotspot models
RSRC-065,P2,D11,MapLibre GL JS,https://github.com/maplibre/maplibre-gl-js,UNVERIFIED-REQUIRES-VERIFICATION,MapLibre community,BSD-3-Clause,Public,npm package,5000000,Continuous,true,AUTO-GIT,2026-07-20,9a71d450219a2d0f32be2165f3e9350e1081e70a,repositories/maplibre__maplibre-gl-js,completed,Open-source map rendering engine
RSRC-066,P2,D11,Cytoscape.js,https://js.cytoscape.org,https://github.com/cytoscape/cytoscape.js,Cytoscape.js team,MIT,Public,npm package,3000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Link-analysis graph rendering
RSRC-067,P2,D11,Leaflet,https://leafletjs.com,https://github.com/Leaflet/Leaflet,Vladimir Agafonkin,BSD-2-Clause,Public,npm package,2000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Lightweight map rendering alternative
RSRC-068,P2,D11,deck.gl,https://deck.gl,https://github.com/visgl/deck.gl,Uber/vis.gl,MIT,Public,npm package,8000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Large-scale geospatial visualization layer
RSRC-069,P2,D11,Apache ECharts,https://echarts.apache.org,https://github.com/apache/echarts,Apache Software Foundation,Apache-2.0,Public,npm package,4000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Charting library for KPI dashboards
RSRC-070,P2,D11,Recharts,https://recharts.org,https://github.com/recharts/recharts,Recharts contributors,MIT,Public,npm package,1000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,React-native charting for dashboard components
RSRC-071,P1,D11,react-force-graph,https://vasturiano.github.io/react-force-graph,https://github.com/vasturiano/react-force-graph,Vasco Asturiano,MIT,Public,npm package,2000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Force-directed graph for link-visualization UI
RSRC-072,P1,D12/13,Faker (en_IN locale),https://github.com/joke2k/faker,https://github.com/joke2k/faker,joke2k/Faker community,MIT,Public (tool),Python wheel,5000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Synthetic data generation; Blueprint Section 6.7
RSRC-073,P2,D12/13,indic-faker,UNVERIFIED-REQUIRES-VERIFICATION,UNVERIFIED-REQUIRES-VERIFICATION,UNVERIFIED-REQUIRES-VERIFICATION,UNVERIFIED-REQUIRES-VERIFICATION,Public (tool),Python wheel,2000000,Continuous,false,SEMI-AUTOMATED,,,,NOT-ACQUIRED,Kannada-script synthetic names/text; verify source first
RSRC-074,P2,D12/13,scikit-learn,https://scikit-learn.org,https://github.com/scikit-learn/scikit-learn,scikit-learn developers,BSD-3-Clause,Public,Python wheel,30000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,ML utilities for offline experimentation
RSRC-075,P2,D12/13,XGBoost,https://xgboost.readthedocs.io,https://github.com/dmlc/xgboost,DMLC,Apache-2.0,Public,Python wheel,15000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Gradient boosting for risk scoring
RSRC-076,P2,D12/13,LightGBM,https://lightgbm.readthedocs.io,https://github.com/microsoft/LightGBM,Microsoft,MIT,Public,Python wheel,10000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Gradient boosting alternative for model training
RSRC-077,P1,D12/13,Catalyst Functions Python SDK,https://help.catalyst.zoho.com,UNVERIFIED-REQUIRES-VERIFICATION,Zoho,Zoho ToS,Public,Python wheel,2000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Serverless function deployment SDK
RSRC-078,P1,D12/13,Catalyst Python client library,https://pypi.org/project/zcatalyst,UNVERIFIED-REQUIRES-VERIFICATION,Zoho,Zoho ToS,Public,Python wheel,3000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Catalyst services client for Python runtime
RSRC-079,P1,D12/13,Synthetic data generation scripts (custom),internal,internal,Berunda team,Apache-2.0 (planned),Synthetic,Python,500000,Ad-hoc,true,SEMI-AUTOMATED,,,,NOT-ACQUIRED,Custom scripts for planted pattern generation
RSRC-080,P4,D14,OWASP ASVS,https://owasp.org,UNVERIFIED-REQUIRES-VERIFICATION,OWASP Foundation,CC-BY-SA,Public,PDF,2000000,Periodic,true,AUTO-DIRECT-DOWNLOAD,2026-07-18,e212bf910507e09fa262b8f572ab4880dec264385ff7a1cfdacfaf4cf90aafcd,data/raw/RSRC-080/owasp_asvs_page_20260718.html,completed,Application security verification standard
RSRC-081,P4,D14,OWASP API Security Top 10,https://owasp.org,UNVERIFIED-REQUIRES-VERIFICATION,OWASP Foundation,CC-BY-SA,Public,PDF,1000000,Periodic,true,AUTO-DIRECT-DOWNLOAD,2026-07-18,e19c18cde5bde1b474ee576fd2fe721f7fd454872c870109170f851ed8fa78a3,data/raw/RSRC-081/owasp_api_security_top10_page_20260718.html,completed,API security reference; Blueprint Section 12.5
RSRC-082,P4,D14,NIST Cybersecurity Framework,https://www.nist.gov/cyberframework,UNVERIFIED-REQUIRES-VERIFICATION,NIST,US public domain,Public,PDF,3000000,Periodic,true,AUTO-DIRECT-DOWNLOAD,2026-07-18,320ba601f3a2b826091d96ca7a650f60516dc65f5c10a2f9c5a9b3fb9731cef0,data/raw/RSRC-082/nist_csf_page_20260718.html,completed,Security control framework reference
RSRC-083,P4,D14,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,UNVERIFIED-REQUIRES-VERIFICATION,NIST,US public domain,Public,PDF,2000000,Periodic,true,AUTO-DIRECT-DOWNLOAD,2026-07-18,faf3f8ea41b1b55edc00197916fa009a0e3df1824892450c4567e4528c9fe6da,data/raw/RSRC-083/nist_ai_main_page_20260718.html,completed,AI governance framework; Blueprint Section 13.3
RSRC-084,P1,D14,DPDP compliance checklist,internal,internal,Berunda team,Apache-2.0 (planned),Synthetic,Markdown,500000,Ad-hoc,true,SEMI-AUTOMATED,,,,NOT-ACQUIRED,Compliance checklist derived from DPDP Act/Rules
RSRC-085,P4,D14,ISO 27001 overview material,https://www.iso.org,UNVERIFIED-REQUIRES-VERIFICATION,ISO,ISO copyright (public overview only),Public,PDF,1000000,None,false,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Publicly available overview only; not full standard
RSRC-086,P1,CROSS,Karnataka district code list,https://ksp.karnataka.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Govt of Karnataka,Govt publication,Public,CSV/JSON,50000,Annual,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Admin codes for joins with crime and census data
RSRC-087,P1,CROSS,Karnataka police station directory,https://ksp.karnataka.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Govt of Karnataka,Govt publication,Public,CSV/JSON,200000,Annual,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Station list for Unit FK references
RSRC-088,P1,CROSS,Indian state/district hierarchy,https://data.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,Govt of India,GODL-India,Public,CSV,100000,Annual,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Geographic hierarchy for drill-down dashboards
RSRC-089,P1,CROSS,Crime head/subhead taxonomy,https://ncrb.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,NCRB (MHA),Govt publication,Public,CSV,200000,Annual,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Crime classification taxonomy for dashboard filters
RSRC-090,P1,CROSS,Legal section catalog (IPC/BNS),https://indiacode.nic.in,UNVERIFIED-REQUIRES-VERIFICATION,India Code,Public domain,Public,CSV/JSON,500000,One-time,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Section code reference for ActSectionAssociation
